sent1	sent2	sick	glove_orig	glove_v1	glove_v2	sbert_orig	sbert_v1	sbert_v2	sbert
The woman is not handling a frog	A man is holding a frog	0.65	0.547	0.547	0.547	0.429	0.429	0.429	0.45534903
A surfer is riding the wave	A woman in a yellow shirt is surfing on a pink surfboard	0.65	0.338	0.404	0.338	0.337	0.353	0.273	0.5833561
Three women are sitting together near woven walls	Three men are sitting together near woven walls	0.65	0.989	0.989	0.989	0.933	0.933	0.933	0.67047906
A shirtless person is posing with a girl who is hiking in a park	A man without a shirt is posing with the arms spread next to a woman	0.65	0.554	0.515	0.554	0.467	0.452	0.467	0.42732173
Two people wearing helmets are driving over the yellow and white flowers	Two adults are standing on a scooter in a field of yellow flowers	0.65	0.47	0.506	0.443	0.438	0.459	0.438	0.26944146
The dog is on a leash and is walking out of the water	A black dog on a leash is walking in the water	0.65	0.522	0.522	0.522	0.522	0.522	0.522	0.8235282
The boy and the girl are not playing and wearing arm floats	A boy and a girl in swimsuits are wearing arm floats	0.65	0.667	0.667	0.673	0.667	0.667	0.667	0.7117276
A little boy is wearing a yellow tank top and is laughing	There is no small boy in a yellow shirt laughing on the beach	0.65	0.477	0.495	0.477	0.514	0.533	0.514	0.6744938
The black dog is walking along a tree trunk bridge over water	A tree is falling over a bridge made over the river which a dog is crossing	0.65	0.579	0.608	0.608	0.609	0.597	0.609	0.7166102
A person is scrubbing a zucchini	A person is packing a zucchini	0.65	0.667	0.667	0.667	0.667	0.667	0.667	0.60580206
Three women are sitting in a village	Three women are running in a village	0.65	0.75	0.75	0.75	0.75	0.75	0.75	0.622306
A group of scouts are hiking through the grass	People are walking	0.65	0.167	0.167	0.167	0.255	0.255	0.255	0.27867037
The black dog is carrying a blue and white ball in its mouth	A dog is running with a volleyball	0.65	0.286	0.3	0.304	0.286	0.371	0.286	0.40844235
The child is playing with the water spout outdoors and the rest of his family is watching	A boy is holding a hose next to a man and another boy is watching	0.65	0.55	0.548	0.55	0.54	0.539	0.54	0.32050776
A man is screaming	A man is scared	0.65	0.5	0.5	0.5	0.5	0.5	0.5	0.49213082
A guy is not riding a horse	A man is riding a horse in the desert	0.65	0.833	0.833	0.833	0.869	0.869	0.869	0.16255327
Two dogs are walking slowly through a park	Two dogs are running through the park	0.64625	0.76	0.76	0.76	0.727	0.727	0.727	0.6625271
A man in a black hat is touching a cardboard box	A man in a black hat is not reaching for a box	0.64625	0.667	0.763	0.667	0.667	0.74	0.667	0.5031863
A dog is catching a black frisbee	A dog is catching a white frisbee	0.64625	0.952	0.646	0.952	0.917	0.725	0.917	0.8710094
A bicyclist is performing a trick over a heavily graphitized wall	A cyclist is performing a jump on a bicycle	0.64625	0.462	0.513	0.462	0.462	0.532	0.462	0.6383181
A female cheerleader is jumping on the knee of a male cheerleader	A female cheerleader is sitting on the knee of a male cheerleader	0.645	0.522	0.667	0.522	0.522	0.667	0.522	0.7773423
There is no person riding a motorbike in the event related to motocross	The person is riding a motorbike on a sandy track	0.64125	0.552	0.609	0.552	0.552	0.583	0.552	0.41777706
A woman on a rock is lying on a blanket and reading a book	A woman on a rock is standing and looking around	0.64125	0.736	0.736	0.736	0.732	0.732	0.732	0.26607585
Two dogs are playing by a tree	Two dogs are sleeping by a tree	0.64125	0.75	0.75	0.75	0.75	0.75	0.75	0.63328636
A man is speaking about the stage	A man is speaking on a stage	0.64125	1.0	1.0	1.0	1.0	1.0	1.0	0.80311257
The man is hammering a nail with a camera	Someone is nailing a camera lens with loud bangs	0.6375	0.477	0.72	0.477	0.379	0.54	0.379	0.61179274
A man is rock climbing, pausing and calculating the route	A person is rock climbing and a city and a bay are in the background	0.6375	0.664	0.664	0.664	0.655	0.655	0.684	0.35140276
The brown dog is playing outdoors	The furry brown dog is running through the grassy area	0.6375	0.4	0.595	0.4	0.46	0.551	0.46	0.6152298
A white race car is driving through a puddle	A white rally car is throwing mud into the air and is approaching a bend in the track	0.63375	0.395	0.221	0.395	0.372	0.272	0.372	0.66783774
A pan is being dropped over the meat	The meat is being dropped into a pan	0.63375	0.714	0.714	0.714	0.714	0.714	0.714	0.85382336
Someone is banging a camera lens against a nail	A camera is being hammered onto the nail by the man	0.63375	0.58	0.756	0.714	0.532	0.69	0.532	0.7359652
A young swimmer is sitting in a bathing suit and waiting for the next race	A kid is waiting wearing swim gear	0.62875	0.312	0.406	0.286	0.307	0.497	0.374	0.56378174
A young woman is getting a tattoo on her hand	The woman in the white sweater is drawing a tattoo on the hand of a teenager	0.62875	0.43	0.43	0.43	0.448	0.448	0.448	0.70072305
A person is pouring olive oil into a pot on the stove	A person is pouring olive oil into the stove from a pot	0.62875	0.657	0.958	0.657	0.672	0.89	0.672	0.986488
A man is posing to be watched by another man	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face	0.625	0.317	0.377	0.317	0.318	0.357	0.318	0.5211811
Two white cats are playing with a brown dog and a ball	Two white dogs and one brown dog are chasing a ball	0.625	0.64	0.64	0.64	0.588	0.559	0.588	0.54977334
A black dog is leaping from a cylindrical hay bale	A black cat is jumping from a hay ball to another hay ball	0.625	0.554	0.528	0.554	0.496	0.464	0.496	0.4757008
A black dog is jumping from n hay ball to another hay ball	A white dog is leaping from a cylindrical hay bale	0.625	0.519	0.49	0.519	0.496	0.464	0.496	0.5193256
A player is throwing the ball	A player is running with the ball	0.625	0.75	0.75	0.75	0.782	0.782	0.782	0.55912954
Two men are riding an orange raft on the shore	The rescue boat, which is orange, is rushing across the water	0.625	0.462	0.448	0.462	0.469	0.406	0.469	0.5178522
A young girl is playing on the edge of a fountain and an older woman is watching her	A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain	0.625	0.529	0.55	0.529	0.434	0.464	0.512	0.60913074
A man is holding a frog	The woman is handling a frog	0.625	0.639	0.639	0.639	0.5	0.5	0.5	0.75026214
A man is putting garlic on some bread slices	A person is sprinkling seasoning on several sliced and buttered loaves of bread	0.625	0.63	0.485	0.63	0.53	0.421	0.53	0.38027197
A little boy is wearing a yellow tank top and is laughing	A laughing boy is in a yellow tank and is wearing a top	0.625	0.647	0.835	0.647	0.647	0.814	0.647	0.92627525
Someone is cutting a tomato	The woman is holding a whole tomato	0.625	0.519	0.665	0.519	0.429	0.566	0.429	0.66935813
There is no person riding a bike	A bike rider in a black and red uniform is standing on a dirt bike	0.625	0.357	0.427	0.357	0.381	0.395	0.381	0.38079253
A surfer is leaning the surfboard against a wall	A surfer is leaning on a surfboard	0.625	0.8	0.8	0.8	0.8	0.8	0.8	0.8655391
Four young men are exploding and a car is standing still behind them	The boys are standing in front of the burning car	0.625	0.342	0.41	0.322	0.309	0.402	0.309	0.5697486
A man is holding a frog	A frog is being handled by the woman	0.625	0.639	0.639	0.639	0.5	0.5	0.5	0.66406673
A man in blue jeans is standing in front of a group of children beside a stone built house	A woman in blue jeans is standing in front of a group of children beside a stone built house	0.625	0.993	0.993	0.993	0.958	0.943	0.958	0.8099697
A lady is surfing and riding a wave	A boy is surfing and riding a wave	0.625	0.957	0.957	0.957	0.909	0.909	0.909	0.50287926
A couple is sitting on a patio and is staring at the ocean	Two adults are sitting in the chairs and are watching the ocean	0.625	0.714	0.714	0.714	0.737	0.737	0.737	0.6601208
A man is cutting a tomato	A woman is cutting a tomato	0.625	0.722	0.722	0.722	0.583	0.583	0.691	0.78058434
A female cheerleader is sitting on the knee of a male cheerleader	Some cheerleaders are taking a break	0.625	0.32	0.381	0.364	0.376	0.333	0.32	0.16768599
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face	A man in a pose is being amusedly watched by another man	0.625	0.379	0.428	0.379	0.377	0.411	0.377	0.69037
A man is singing and playing a guitar	Someone is singing about a man who plays the guitar	0.625	0.619	0.619	0.619	0.674	0.674	0.674	0.7605565
A woman is wearing paint and costume pieces and is riding a bike on a busy street	A girl in a strange outfit is riding the bike	0.625	0.448	0.463	0.334	0.498	0.475	0.392	0.67602694
A distant person with a blue backpack is hiking in rocky area	The person is walking	0.625	0.2	0.222	0.2	0.2	0.222	0.2	0.2098754
A waterfall is flowing out of a shallow pool	A waterfall is flowing into a shallow pool	0.625	1.0	1.0	1.0	1.0	0.946	1.0	0.97219825
The football is between the feet of a boy who is lying on the grass	The little kid is playing football and falling into the grass	0.625	0.443	0.491	0.443	0.49	0.452	0.49	0.64236045
The man in a grey t-shirt is sitting on a rock in front of the waterfall	Somebody is sitting at the waterfall and looking at a woman	0.625	0.462	0.462	0.462	0.415	0.415	0.415	0.48761117
A group of people is equipped with protective gear	A group of people is equipped with unprotective gear	0.625	0.818	1.0	0.818	0.818	0.837	0.818	0.60606664
A blond boy is walking up a sand dune with a skateboard	A blond boy is sliding down a sand dune on a skateboard	0.625	0.786	0.75	0.786	0.786	0.677	0.786	0.7636276
A surfer is riding the wave	A man is falling off a surfboard in the water	0.625	0.306	0.306	0.306	0.361	0.361	0.361	0.5899488
A woman is putting meat in a pan	The meat is not being dropped into a pan	0.625	0.657	0.657	0.657	0.625	0.625	0.625	0.4511015
A little child in a pink sweater is climbing a concrete staircase	A small child is outdoors climbing steps in a grassy area	0.625	0.538	0.495	0.538	0.567	0.49	0.567	0.65780073
A couple is sitting on a patio and looking at the ocean	Two adults are sitting in the chairs and are watching the ocean	0.625	0.734	0.734	0.734	0.734	0.734	0.734	0.6569087
A woman is cutting some plants	A woman is cutting broccoli	0.625	0.5	0.5	0.545	0.5	0.5	0.5	0.3126969
A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	A boy on a red and black slide is wearing a jacket and a hat and has knees which are covered in snow	0.625	0.704	0.704	0.704	0.715	0.715	0.713	0.6684609
A person is cutting a capsicum into pieces	The person is not slicing a clove of garlic into pieces	0.625	0.5	0.5	0.5	0.531	0.531	0.531	0.04731299
A person is cutting a capsicum into pieces	One person is slicing a clove of garlic into pieces	0.625	0.5	0.5	0.5	0.531	0.531	0.531	0.27277437
A person is listening to a trumpet playing	A person is playing a trumpet	0.625	0.571	0.571	0.571	0.571	0.571	0.571	0.8543982
A woman in a yellow shirt is surfing on a pink surfboard	A woman in a pink shirt is surfing through yellow surfboards	0.625	0.857	0.893	0.857	0.857	0.862	0.857	0.96586716
Two people are carrying colorful baskets and blankets and walking near a building	Two people are carrying gray baskets and blankets and walking near a building	0.625	0.894	0.918	0.894	0.894	0.922	0.894	0.93784255
A person is cutting some mushrooms	A person is putting away the mushrooms	0.625	0.618	0.618	0.618	0.5	0.5	0.5	0.6639451
A grey dog is bouncing a soccer ball on its head on a lawn	A dog with a blue collar is playing with the ball outside	0.625	0.417	0.495	0.474	0.463	0.496	0.463	0.4034353
A black man in green is riding a bike	A man dressed in black is riding a bike	0.625	0.758	0.758	0.758	0.753	0.753	0.753	0.7510756
A person is wearing grey pants on a snowboard	A snowboarding man is jumping through the air	0.625	0.333	0.333	0.333	0.364	0.364	0.364	0.4355966
A woman in a yellow dyed shirt is surfing on a pink surfboard	A surfer is riding the wave	0.625	0.31	0.402	0.31	0.296	0.337	0.309	0.555381
A man in a black jersey is standing in a gym	A woman in a black jersey is standing in a gym	0.625	0.986	0.986	0.986	0.917	0.917	0.917	0.7020428
The girl is carrying a sign and a group of people is following her	A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign	0.625	0.516	0.534	0.516	0.532	0.568	0.532	0.4951535
A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk	The girl is carrying a sign and a group of people is following her	0.625	0.444	0.547	0.444	0.566	0.592	0.537	0.44759658
A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign	The girl is carrying a sign and is being followed by a group of people	0.625	0.555	0.573	0.526	0.571	0.606	0.571	0.54145366
A young child is barefoot and is walking past a puddle full of mud	A young child is wearing green boots and playing in a puddle full of mud	0.625	0.718	0.703	0.718	0.718	0.664	0.718	0.60806644
A man is playing the guitar	A man is packing the guitar	0.625	0.667	0.667	0.667	0.667	0.667	0.667	0.22064568
A grey dog is jumping toward a black and white dog in the snow	A grey dog is jumping toward a black and white dog in the water	0.625	0.9	0.9	0.9	0.9	0.9	0.9	0.6376199
A man at the keyboard is playing with his nose	The man is playing the piano with his nose	0.625	0.849	0.849	0.849	0.778	0.778	0.778	0.8476824
People are riding two camels at the beach	Two people are seated near a camel and another camel is in the foreground	0.625	0.371	0.383	0.371	0.394	0.417	0.394	0.6569917
Four people are walking across thick snow and the sun is setting	Four people are standing in thick snow and the sun is rising	0.625	0.765	0.765	0.843	0.781	0.781	0.781	0.8993802
The white bird is landing swiftly in the water	A large white crane is flying near the water	0.625	0.409	0.409	0.409	0.409	0.409	0.409	0.594277
A brown and white dog is catching a dirty tennis ball in a dirt field	A brown and white dog is catching a dirty golf ball in a dirt field	0.625	0.889	0.894	0.889	0.889	0.775	0.889	0.82605505
People at a drag race are looking at the flames that are coming out of the cars	People at a drag race are running away from the flames that are coming out of the cars	0.625	0.714	0.714	0.714	0.714	0.714	0.714	0.73719275
A man dressed in black is riding a bike	A man is performing a trick on a bike	0.625	0.526	0.526	0.526	0.526	0.526	0.526	0.5948929
A group of boys are quiet in front of a large door made of wood	A group of boys are playing with a ball in front of a large door made of wood	0.625	0.778	0.778	0.778	0.778	0.778	0.778	0.583374
The young boys are posing with a green soccer ball in a park	Four boys are kneeling next to each other in front of a ball	0.625	0.417	0.424	0.417	0.417	0.447	0.417	0.43632203
A dog that has a brown and white coat is sitting in shallow water	A white and brown dog is walking through the water with difficulty	0.625	0.528	0.505	0.573	0.528	0.477	0.528	0.46256423
A woman in jeans is sitting on the saddle of a horse	A woman in jeans is standing near a horse with a saddle	0.625	0.559	0.559	0.559	0.533	0.533	0.533	0.8037472
The men are performing on stage	Mimes are performing on a small stage	0.625	0.62	0.772	0.62	0.556	0.625	0.556	0.42768678
A brown and black dog is running through the leaves	A brown and black dog is resting in the leaves	0.625	0.458	0.458	0.458	0.458	0.458	0.458	0.4422806
Two men are leaving the stage	The men are performing on stage	0.625	0.571	0.571	0.714	0.571	0.571	0.571	0.43129873
A woman and a dog are standing near a tree stump	A woman and a dog are sitting on a tree stump	0.625	0.667	0.701	0.667	0.667	0.665	0.667	0.7505831
A black and white dog is carrying a small stick on the green grass	A black and white dog with a large branch is running in the field	0.625	0.621	0.584	0.621	0.606	0.621	0.606	0.5937696
A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background	0.625	0.391	0.372	0.391	0.35	0.378	0.35	0.3885432
A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle	The man is getting off a motorcycle onto ground which is mostly barren	0.625	0.417	0.418	0.4	0.428	0.387	0.428	0.48019516
A tan skinned child is looking at the camera	A little boy with a bib is watching the camera	0.625	0.548	0.52	0.548	0.55	0.452	0.55	0.5404007
The man is doing a wheelie with a motorcycle on ground which is mostly barren	The man is on ground which is mostly barren, filming a wheelie done with a motorcycle.	0.625	0.448	0.529	0.432	0.432	0.471	0.432	0.8007382
Some people are walking	Some people are standing	0.625	0.667	0.522	0.667	0.712	0.523	0.712	0.61281276
A horse and its rider are leaping over a barrier	The horse is leaping over the rider at the barrier	0.625	0.741	0.741	0.741	0.741	0.741	0.741	0.9065856
A man and a woman are walking down a city street	People are not walking through a crowded street	0.625	0.594	0.618	0.67	0.607	0.646	0.607	0.37151468
The small child is wading through the water and is being guided by another person	A young child is splashing in the water	0.625	0.427	0.41	0.427	0.435	0.375	0.435	0.6335307
A young girl is jumping into a still lake	A young boy is jumping into a still lake	0.625	0.992	0.994	0.992	0.9	0.81	0.9	0.66556954
The woman is putting away a flute	A woman is playing a flute	0.625	0.571	0.571	0.571	0.571	0.571	0.571	0.6695068
A man is picking up a tree	A man is dropping a tree	0.625	0.667	0.667	0.667	0.71	0.71	0.71	0.67209876
A boy in a band is playing the flute	A girl in a uniform is playing the flute with a marching band	0.625	0.629	0.735	0.629	0.545	0.611	0.545	0.6072612
A young child is watering a plant with splashes	A young child is splashing in the water	0.625	0.614	0.566	0.614	0.711	0.586	0.711	0.64772385
A group of scouts are camping in the grass	A group of scouts are hiking through the grass	0.625	0.75	0.75	0.75	0.75	0.75	0.75	0.72370034
A man is watering the grass and excitedly playing with a dog	A dog is excitedly playing with water in the grass	0.625	0.538	0.538	0.615	0.538	0.538	0.538	0.7786001
The man in a cowboy hat is walking through a market and is putting a hand in his pocket	A man in a hat is walking past a store	0.625	0.571	0.631	0.571	0.576	0.605	0.576	0.6303007
The man is dancing	A woman is dancing	0.625	0.958	0.958	0.958	0.75	0.75	0.75	0.5599897
A dog is jumping at a shiny blue soccer ball in a field of dry leaves	A dog is jumping at dry leaves in a field of shiny blue soccer balls	0.625	0.861	0.823	0.861	0.861	0.745	0.861	0.9497421
Several swimmers are dashing into the water	Swimmers are racing in a lake	0.625	0.625	0.625	0.625	0.664	0.664	0.664	0.590284
A woman is showing a small cat to an infant	A woman is showing a small dog to an infant	0.625	0.988	0.991	0.988	0.9	0.853	0.9	0.64367104
Several swimmers are jumping into the water	A few swimmers are racing in a lake	0.625	0.748	0.748	0.748	0.666	0.666	0.666	0.6086268
A black and white dog is playing with a new volleyball	A black and white dog is playing with a broken volleyball	0.625	0.909	0.909	0.909	0.909	0.909	0.909	0.7799417
Ferrets are climbing up a shelf	Several ferrets are climbing out of the cage	0.625	0.556	0.556	0.556	0.556	0.556	0.556	0.610916
A boat's sail is being reflected by the peaceful water	A boat is sailing peacefully over the water	0.625	0.553	0.536	0.553	0.5	0.576	0.492	0.8570957
A man is playing the drum	A man is disassembling the drum	0.625	0.667	0.667	0.667	0.667	0.667	0.667	0.593555
Ferrets are climbing down from a shelf	Several ferrets are climbing out of the cage	0.625	0.556	0.556	0.556	0.585	0.585	0.585	0.5040716
A small boy is standing in the forest	A small boy is sitting in the forest	0.625	0.798	0.769	0.798	0.75	0.645	0.75	0.79324615
A biker is riding away from a fence	A biker is riding along the top of a fence	0.625	0.701	0.701	0.701	0.636	0.636	0.636	0.7327939
The man needs a stenograph to operate 	The man is operating a stenograph	0.625	0.533	0.533	0.533	0.533	0.533	0.533	0.85423255
Two men are driving down the road in an open-air vehicle	A man and a woman are driving down the street in a jeep	0.625	0.558	0.597	0.629	0.554	0.554	0.554	0.67303234
The dog is snapping at some droplets of water	There is no dog excitedly playing with water in the grass	0.625	0.435	0.435	0.435	0.435	0.435	0.435	0.3105132
Two dogs are in a kennel on their hind legs and are facing one another	Two dogs are playing with each other	0.625	0.469	0.398	0.469	0.462	0.433	0.462	0.47745046
The group of people is sitting on the ground outside a monument	A group of people is standing on both sides of a red stone structure	0.625	0.587	0.555	0.587	0.484	0.532	0.484	0.25245652
A young boy in a helmet is riding a bike on the lawn	A young boy in a helmet is riding a bike on the road	0.625	0.929	0.929	0.929	0.929	0.929	0.929	0.8665935
A brown and white dog is jumping on the sidewalk	A little brown and white dog is running on the road	0.625	0.462	0.462	0.462	0.462	0.462	0.462	0.64733803
A brown and white animal is jumping on the sidewalk	A little brown and white dog is running on the sidewalk	0.625	0.698	0.698	0.698	0.731	0.731	0.731	0.6988714
The child is playing with toys outdoors	The child is playing with toys indoors	0.625	0.946	0.946	0.946	0.875	0.875	0.875	0.5969634
A white race car is driving through a puddle	The white rally car is throwing mud into the air and is approaching a bend in the track	0.625	0.395	0.221	0.395	0.372	0.272	0.372	0.67308223
Several swimmers are jumping into the water	Swimmers are racing in a lake	0.625	0.625	0.625	0.625	0.629	0.629	0.629	0.5861426
A boy under an umbrella is being let go by his father who is wearing a blue coat	A boy under an umbrella is being held by his father who is wearing a blue coat	0.625	0.744	0.732	0.744	0.757	0.722	0.757	0.9164193
A dog is running on a muddy path	A dog is running on a snowy path	0.625	0.945	0.952	0.945	0.875	0.787	0.875	0.6849239
The dog isn't snapping at some droplets of water	A dog is excitedly playing with water in the grass	0.625	0.455	0.455	0.455	0.455	0.455	0.455	0.4607959
A man by a wall made of bricks is wearing a mask around his mouth and a hair net	A man is wearing a clear plastic cap and a face mask	0.625	0.513	0.547	0.513	0.513	0.569	0.513	0.5854436
A man is standing on the top of the rocks with clouds behind them	A man is standing behind the rocks with clouds on top of them	0.625	0.714	0.714	0.714	0.667	0.667	0.667	0.91159475
A dog is running on the sand and chasing a ball	A brown and white dog is catching a dirty tennis ball in a dirt field	0.625	0.375	0.601	0.419	0.356	0.435	0.356	0.47118104
A boy in a white t-shirt is splashing in shallow water	A boy is running through the water at the beach	0.625	0.364	0.458	0.437	0.364	0.389	0.364	0.59192
Not a lot of people are in an ice skating park	An ice skating rink placed outdoors is full of people	0.625	0.521	0.467	0.399	0.519	0.54	0.519	0.48494616
A lot of people are in an ice skating park	An ice skater is outdoors performing on a rink full of people	0.625	0.397	0.397	0.326	0.376	0.376	0.383	0.8140303
A policeman is sitting on a motorcycle	A motorcyclist is sitting by a police man	0.625	0.735	0.931	0.735	0.665	0.973	0.665	0.6871507
Some meat is being stitched together by a woman	A lady is cutting up some meat	0.625	0.62	0.573	0.62	0.663	0.629	0.663	0.8110513
A man is standing on the top of the rocks with clouds behind them	A person is standing on a mountain top	0.625	0.546	0.611	0.546	0.482	0.531	0.482	0.5929228
A man is typing on a machine used for stenography	A man is putting away a stenograph machine	0.625	0.429	0.526	0.429	0.511	0.501	0.511	0.6205084
A dog is standing on a mountain	A white dog is standing on a grassy hillside	0.625	0.693	0.807	0.693	0.625	0.735	0.625	0.59249973
A black dog is running in the grass and its tongue is hanging out	A black dog is lying in the grass	0.625	0.5	0.5	0.5	0.5	0.5	0.5	0.594161
A dog is running on concrete and is holding a blue ball	The large dog is walking outside and is holding a colorful toy in its mouth	0.625	0.679	0.69	0.679	0.629	0.649	0.629	0.4881212
A large group of cheerleaders is walking in a parade	The cheerleaders are parading and wearing uniforms which are black, pink and white	0.625	0.457	0.457	0.457	0.457	0.457	0.457	0.5978801
A large group of cheerleaders is walking in a parade	The cheerleaders are not parading and are not wearing black, pink and white uniforms	0.625	0.338	0.338	0.338	0.336	0.336	0.336	0.1988221
Two men with bikes are on the side of a snowy road	Two men with cars are on the side of a snowy road	0.625	0.842	0.831	0.842	0.8	0.741	0.8	0.6700464
Two crocodiles are floating in a green colored swimming pool near some playing kids	Two kids are playing in a swimming pool with a green colored crocodile float	0.625	0.579	0.579	0.579	0.579	0.579	0.579	0.90364933
A white dog is standing on a grassy hillside	A dog is standing on the side of a mountain	0.625	0.616	0.662	0.616	0.556	0.666	0.556	0.59702665
There is no dog standing on the side of a mountain	A white dog is standing on a grassy hillside	0.625	0.554	0.593	0.554	0.5	0.596	0.5	0.4416471
Four athletes are with a man in a crowded stadium	Four athletes are with a woman in a crowded stadium	0.625	0.986	0.986	0.986	0.917	0.917	0.917	0.7049234
Two people are walking near the water	Two people are wading through the water	0.625	0.556	0.556	0.556	0.585	0.585	0.585	0.6557467
People are playing cricket	A few men are watching cricket	0.625	0.536	0.536	0.536	0.506	0.506	0.506	0.4461952
A man is climbing up a rope	A man is being roped before climbing	0.625	0.375	0.375	0.375	0.438	0.438	0.438	0.7514746
A woman is cutting meat	A woman is cutting an onion	0.625	0.583	0.583	0.583	0.583	0.583	0.583	0.44979072
A man in a red jacket and khaki pants is walking through an European state	A man in a red jacket and khaki pants is walking through an American state	0.625	0.976	0.903	0.976	0.909	0.845	0.909	0.78855383
Two dogs of different breeds are looking at each other across a street	A dog, which is black, and a white one are ignoring each other in the street	0.625	0.422	0.502	0.444	0.444	0.486	0.396	0.4369658
An animal is swimming in a body of water	A brown dog is standing in a lake	0.625	0.335	0.422	0.335	0.342	0.388	0.342	0.4743986
A happy family is posing by the fireplace	A sad family is posing by the fireplace	0.625	0.9	0.9	0.9	0.9	0.9	0.9	0.8023238
Three men are dancing	Some women are dancing	0.625	0.805	0.805	0.805	0.667	0.667	0.667	0.36660135
A man is shaking a container over a sink in the kitchen	A man is emptying a container made of plastic	0.625	0.479	0.479	0.479	0.455	0.455	0.455	0.37529135
The lady is cracking an egg into a bowl	The lady is taking an egg out of a bowl	0.625	0.75	0.75	0.75	0.75	0.75	0.75	0.8101449
There is no man shaking a container over a sink in the kitchen	A man is emptying a plastic container	0.625	0.364	0.364	0.364	0.364	0.364	0.364	0.40870422
A young lady in a bikini is lying on the beach	A black girl with no bikini is wearing a hat at the beach	0.625	0.578	0.578	0.578	0.565	0.565	0.565	0.5748755
A few men are dancing	Some women are dancing	0.625	0.953	0.953	0.953	0.75	0.75	0.75	0.5605247
A man is emptying a plastic container	A container is being shaken over a sink in the kitchen by a man	0.625	0.4	0.4	0.4	0.4	0.4	0.4	0.38112634
A person is riding a motorbike in the event related to motocross	A motocross rider is giving a motorbike to a person at an event	0.625	0.538	0.538	0.538	0.606	0.606	0.606	0.7894765
Two small children are playing with a toy car in the street	Two small children are idling in the street	0.625	0.667	0.696	0.667	0.667	0.563	0.667	0.7319548
The girl in the black hat is wearing a bikini at the beach	A young lady in a bikini is lying on the beach	0.625	0.464	0.464	0.464	0.516	0.516	0.516	0.6365456
A father is pulling his daughter on a go-kart and another girl is looking away	A father is pushing his daughter on a go-kart and another girl is watching	0.625	0.862	0.857	0.905	0.876	0.848	0.876	0.8101811
Two men are walking through the water	Two men are standing in the ocean	0.625	0.556	0.556	0.556	0.586	0.586	0.586	0.6496123
A little boy in red clothes is jumping into the air	There is no child in a red outfit jumping on a trampoline	0.625	0.479	0.479	0.479	0.481	0.481	0.376	0.4086058
A brown dog and a grey dog are fighting in the snow	Two dogs are playing in the snow	0.625	0.387	0.445	0.364	0.364	0.383	0.364	0.43353733
A cat is sliding upside down under a sofa	A cat is crawling under a piece of furniture	0.625	0.5	0.5	0.5	0.5	0.5	0.5	0.69778776
Two baby pandas are sleeping	Two baby pandas are playing	0.625	0.75	0.75	0.75	0.75	0.634	0.75	0.7235199
A man is riding a horse	A man is driving a vehicle	0.625	0.5	0.5	0.5	0.5	0.5	0.5	0.29456782
A man is chopping an onion	A woman is slicing an onion	0.625	0.639	0.639	0.639	0.5	0.5	0.5	0.5384969
A man is playing a flute	There is no man playing a guitar	0.625	0.592	0.592	0.592	0.5	0.5	0.5	0.23232189
The little boy is singing and playing the guitar	A guitar is being played by a baby	0.625	0.5	0.609	0.5	0.486	0.6	0.486	0.5118379
The kittens on the trays are being eaten as food for an advertisement	The food on the trays is being eaten by the kittens	0.625	0.778	0.778	0.778	0.778	0.778	0.778	0.8416592
A girl is wearing white clothes and is dancing	The blond girl is dancing in front of the sound equipment	0.625	0.442	0.479	0.442	0.423	0.476	0.418	0.62110436
A woman is playing with a brown dog on a garden path	A woman is playing with a brown cat on a garden path	0.625	0.907	0.907	0.907	0.833	0.744	0.833	0.68526447
A woman is placing two eggs into a pot of water	A woman is drying eggs	0.625	0.444	0.444	0.517	0.444	0.444	0.444	0.5942143
A group of five old adults are lounging indoors	A small group of people are standing and two are sitting on the couch	0.625	0.335	0.56	0.335	0.267	0.345	0.272	0.23836762
A big group of people are standing and two are sitting on the couch	A group of five young adults are lounging indoors	0.625	0.339	0.56	0.339	0.3	0.35	0.267	0.18933026
Two dogs are playing outside	Two brown and white dogs are fighting on a grassy area behind a tree	0.625	0.35	0.35	0.35	0.333	0.333	0.333	0.38814014
The man is exercising	There is no man doing pull-ups	0.625	0.333	0.333	0.333	0.333	0.333	0.333	0.15122211
The bunch of men are not playing rugby on a muddy field	Some men are playing rugby	0.625	0.636	0.636	0.636	0.688	0.688	0.688	0.3844952
The man is erasing the drawing on the board	The man is erasing the other man's work from the panel	0.625	0.487	0.487	0.487	0.411	0.411	0.411	0.73176426
A boy is climbing up a wall artificially built for climbing and is attached to a rope	A little boy, who looks fearful, is on a climbing wall.	0.625	0.414	0.408	0.414	0.413	0.396	0.399	0.7008158
An Asian woman in in the midst of many people is carrying a black bag	A girl with a black bag is on a crowded train	0.625	0.418	0.579	0.324	0.441	0.568	0.423	0.61733496
