sent1	sent2	theme	score
Militant attack from Afghanistan kills four in Upper Dir	Militant attack from Afghanistan kills FC soldier in Balochistan	headlines	3.0
Mali hunts jihadist nightclub killers	Militants attack UN as Mali hunts jihadist nightclub killers	headlines	3.0
Sierra Leone in Ebola lockdown	Sierra Leone Reaches Final Day of Ebola Lockdown	headlines	3.0
Israeli forces detain Palestinian MP in Hebron	Israeli forces detain 2 Palestinians in overnight arrest raids	headlines	3.0
More than 3,400 migrants rescued at sea in Mediterranean	Over 2,000 migrants rescued from wooden boats in Mediterranean	headlines	3.0
Israeli police clash with Palestinian protesters at sensitive Jerusalem holy site	Israel Police Clash With Palestinians in Jerusalem	headlines	3.0
Islamic State issues video of beheading of US hostage	Islamic State posts second propaganda video of UK hostage	headlines	3.0
Greece bailout uncertainty weighs on global markets	Greece concerns drag on Asia markets	headlines	3.0
Nepal earthquake death toll surpasses 7,000	Death toll in Nepal earthquake tops 8,000	headlines	3.0
US drone strike kills eight in Waziristan	US drone strike kills 11 in Pakistan	headlines	2.0
Boy, 14, arrested for sex attacks around a university campus	Two teenagers arrested after string of sex attacks on Manchester University campus	headlines	2.0
Obama orders Syria 'gas attack' inquiry	UN urges Syria gas attack inspection	headlines	2.0
Ukraine's jailed opposition icon Tymoshenko walks free	Ukraine's opposition chief wants more protests	headlines	2.0
Redford touts Alberta economy ahead of vote on leadership	Redford addresses PC convention ahead of leadership review	headlines	2.0
Man kills 4 in Calif. before police shoot him dead	Police: Gunman killed 6 in California shootings	headlines	2.0
N. Korea Deports Elderly American	North Korea deports detained US war veteran	headlines	2.0
Obama mulls limited military action in Syria	Obama urges military action against Syria, but will seek Congress' OK	headlines	2.0
One killed in clashes at Muslim Brotherhood Cairo offices	Egypt: Protesters storm Muslim Brotherhood's HQ	headlines	2.0
Saudi Women To Protest Against Driving Ban	Saudi women drive in protest with little problem	headlines	2.0
Nelson Mandela hospital release reports 'incorrect'	Nelson Mandela Goes Home After Hospital Stay	headlines	2.0
US to Determine Extent of Chemical Weapons Use by Syria	What we know so far about chemical weapons in Syria's civil war	headlines	2.0
Syria agrees to surrender chemical weapons	UK's Cameron: Syria, Russia must show chemical arms proposal is genuine	headlines	2.0
Russia's Putin claims authority to invade Ukraine	Kremlin: Putin yet to decide on using Russian troops in Ukraine	headlines	2.0
Singapore shares open 0.28% lower on Thursday	Singapore shares open 0.19% higher on Thursday	headlines	2.0
Headlines in major Iranian newspapers on Oct 4	Headlines in several Iranian newspapers on Oct 19	headlines	2.0
Bombings kill 9 people in Iraqi capital	Bombings kill 19 people in Iraq	headlines	2.0
10 Things to Know for Wednesday	10 Things to Know for Thursday	headlines	2.0
How the Dow Jones Industrial Average Did Wednesday	How the Dow Jones Industrial Average Fared on Monday	headlines	2.0
New UN peacekeeping chief named for Central African Republic	UN takes over peacekeeping in Central African Republic	headlines	2.0
Iraq bombings kill at least 26	Iraq suicide bomber kills at least 12	headlines	2.0
UN Security Council hears Yemen envoy's final ...	UN Security Council urges Yemen's Houthis to end...	headlines	2.0
13 killed in Afgan terror attack	6 killed in Afghan capital mosque attack	headlines	2.0
Rev's Early Reads: March 2	Rev.'s Early Reads: Sept. 3rd, 2015	headlines	2.0
Markets Live: Waiting for China data	Markets Live: China drags	headlines	2.0
Palestinians, Israeli police clash at Jerusalem's al-Aqsa	Palestinian Shot by Israeli Police in East Jerusalem Dies	headlines	2.0
The end of the Hong Kong protests?	UK 'concern' over Hong Kong protests	headlines	2.0
Russian warplanes strike inside Syria	Russian roulette in Syria	headlines	2.0
Nigeria Votes in Tight Presidential Election	Guineans Go to the Polls in Presidential Elections	headlines	2.0
Prince William dons samurai gear on Japan tour	Prince William of Britain arrives in Beijing	headlines	2.0
Micronesia vice president to visit China	Vice President of Bolivia to visit China	headlines	2.0
Iran ends cooperation agreement with Pakistan	Iran, Tajikistan sign cooperation agreement	headlines	2.0
New US Sanctions Target Overseas Cyber Attackers	China disagrees with U.S. sanctions program on overseas cyber attackers	headlines	2.0
Deadly Blast Rocks Coal Mine in East Ukraine	12 Dead, Despite Cease-fire in East Ukraine	headlines	2.0
Backstage Moves Intensify as Fight Against Islamic State Widens	Mixed Progress Reported in Fight Against Islamic State	headlines	2.0
Taiwan coast guard launches new ships as South China Sea tensions rise	Chinese military reaches out amid South China Sea tensions	headlines	2.0
Pro-Palestinian Activists March to UN Headquarters	Pro-Palestinian activists prepare flotilla to break Gaza blockade	headlines	2.0
All 224 dead in Russian airliner mystery crash	Heat flash detected at time of Russian airliner crash	headlines	2.0
Scientists prove there is water on Mars	Has Nasa discovered water on Mars?	headlines	2.0
Editors from around the world urge Turkey to protect media	Media freedom at stake as Turkey fights rebels	headlines	2.0
North Korea to put US citizen on trial	N Korea hit with new US sanctions	headlines	2.0
Hong Kong officials resume work as protests thin	Hong Kong student leaders mull protest retreat	headlines	2.0
Volkswagen skids into red in wake of pollution scandal	"Volkswagen's ""gesture of goodwill"" to diesel owners"	headlines	2.0
France shuts mosque, arrests man in crackdown after attacks	Security tightened at New Delhi churches after attacks	headlines	2.0
Russian plane reportedly crashes in Egypt	Pilot killed as US jet crashes in England	headlines	2.0
Mandela's condition has 'improved'	Mandela's condition has 'worsened over past 48 hours'	headlines	1.0
Search leader urges caution in findings related to missing Malaysian jetliner	Searchers hoping pings come from lost Malaysian airliner	headlines	1.0
Mandela remembered by family, as stadium memorial service is planned	Mandela's family thanks nation and world for support	headlines	1.0
Obama holds out over Syria strikes	UK urges countries over Syria aid	headlines	1.0
George Zimmerman found not guilty of Trayvon Martin murder	George Zimmerman Verdict Propels Cable News Into Talkradio Mode	headlines	1.0
Obama, Hollande Hail Transformed US-French Relationship	Hollande arrives for US state visit	headlines	1.0
Russian parliament allows Putin to use military in Ukraine	President Obama warns Russia to stay out of Ukraine	headlines	1.0
World stocks rise on hopes Fed to keep stimulus	Fed expected to maintain stimulus	headlines	1.0
No winners in a war of sanctions	The impact of sanctions on Russia	headlines	1.0
Tata Nano and other Indian small cars fail crash tests	How does world's cheapest car do in crash test?	headlines	1.0
Turkey unrest goes on despite end to park protest	"Turkish PM Erdogan says ""duty"" to order crackdown on Istanbul park protest"	headlines	1.0
Top Asian News at 2:30 p.m. GMT	Top Asian News 1:25 p.m. GMT	headlines	1.0
Singapore shares open 0.83% higher on Wednesday	Singapore shares open 0.06% lower on Tuesday	headlines	1.0
China treasury bond futures open higher Tuesday	China treasury bond futures close mixed Wednesday	headlines	1.0
7.3 magnitude earthquake strikes Nepal	6.6-magnitude earthquake strikes off Indonesia	headlines	1.0
Iran's parliament backs nuclear deal	Iran hardliners attack nuclear deal	headlines	1.0
Israeli forces arrest 21 Palestinians overnight, clash with locals	Israeli security forces arrest 8 Palestinians in overnight West Bank sweeps	headlines	1.0
CCTV of gunmen in Tunisia museum attack	19 killed in Tunis museum attack	headlines	1.0
Teenager tests negative for Ebola	Texas hospital worker tests positive for Ebola	headlines	1.0
Texas sues over Syrian refugees	Turkey 'exploits' Syrian refugees	headlines	1.0
Rooney helps Man United beat Everton 3-0 in Premier League	West Ham beats Newcastle 2-0 in Premier League	headlines	1.0
Hard-line Jewish leader shot in Jerusalem	Israeli leader urges calm in Jerusalem	headlines	1.0
Waba emerges new NLC president	Waiting for the next president	headlines	1.0
Egypt: IPI Urges Release of Al Jazeera Journalist Arrested in Berlin	Egypt sentences Al Jazeera journalists to jail	headlines	1.0
occupied Palestinian territory: Israeli Forces Continue to Shed Palestinian Blood in oPt	occupied Palestinian territory: Israel warns on security as Gaza truce talks resume	headlines	1.0
5 US airstrikes target Islamic State fighters	Kurds see Turkey impeding Islamic State fight	headlines	1.0
Burundi police fire tear gas at protesters	Montenegrin police fire teargas to disperse opposition	headlines	1.0
Ashya's Parents Arrive For Extradition Hearing	Ashya King's parents freed from jail in Spain	headlines	1.0
Nigeria admits slow response in Ebola case	US ramps up response to Ebola crisis	headlines	1.0
Thousands cross Austria-Hungary border	Thousands of Russians stranded abroad	headlines	1.0
Benzema faces possible charges in sex-tape case	Menendez faces possible corruption charges	headlines	1.0
US Senate votes to advance Iran nuclear review bill	US scientists praise Iran nuclear deal	headlines	1.0
Gunners fire but fail to advance in Champions League	EPL clubs out to avoid Champions League woes	headlines	1.0
Iranian President praises nuclear deal	Iran arrests several spies near nuclear plant	headlines	1.0
Boko Haram disrupts Nigerian elections	Press awash with Nigeria's general elections	headlines	1.0
South Korea regrets North's refusal of talks	South Korea reports 14th Mers death, 12 new cases	headlines	1.0
South Korea reports seven new MERS cases	South Korean woman in contact with MERS patient dies	headlines	1.0
U.S. military says it conducts airstrikes against IS in Syria, Iraq	Observatory says Russian air strikes kill 45 in Syria	headlines	1.0
UK Leader Signals Support for Airstrikes on IS in Syria	Why Cyprus backs Cameron's push for UK air strikes in Syria	headlines	1.0
Israel bars Palestinians from Jerusalem's Old City	Two-state solution between Palestinians, Israel pie in sky	headlines	1.0
How much do you know about Secret Service?	Lawmakers from both sides express outrage at Secret Service	headlines	1.0
UN chief welcomes peaceful presidential elections in Guinea	UN chief condemns attack against peacekeepers in Mali	headlines	1.0
At least 18 killed in Iraq mosque bombing	More than 60 killed at Iraq funeral	headlines	0.0
Malaysia Airlines plane crashes on Ukraine-Russia border - live	US: Russia Massing Troops on Ukraine Border	headlines	0.0
Tycoon claims win in Ukraine and promises to seek future in EU	Polling stations open at Ukrainian presidential election	headlines	0.0
The covert war in Pakistan	New major earthquake rocks southwest Pakistan	headlines	0.0
4 killed, several injured in SW China car accident	Two killed, seventeen injured in Raiwind road accident	headlines	0.0
4 dead, 3 injured in east China road accident	2 dead, 8 injured in central Israel traffic accident	headlines	0.0
Live Blog: Ukraine In Crisis	Live Blog: Iraq In Turmoil	headlines	0.0
Pope canonizes 2 Palestinians	Sweden recognizes Palestinian state	headlines	0.0
3 killed, 4 injured in Los Angeles shootings	Five killed in Saudi Arabia shooting	headlines	0.0
5 killed in Israeli air strikes in Gaza	38 IS militants killed in clashes, air strikes in Iraq	headlines	0.0
Funeral of Ian Paisley to take place in Belfast	Funeral of MH17 victim Liam Sweeney takes place in Newcastle	headlines	0.0
Libya: UN orders investigation into Libya rights abuses	India's top court orders investigation into job scam, deaths	headlines	0.0
Kranjcar leaves it late to rescue QPR against Moses-inspired Stoke	Harry Kane leaves it late to rescue a point for Tottenham Hotspur	headlines	0.0
Oscar Pistorius sentenced to 5 years in prison	'Bookkeeper of Auschwitz' Sentenced to Four Years in Prison	headlines	0.0
Govt. to hold talks with FTII students	Cameron to hold talks with Sturgeon on UK future	headlines	0.0
Li Na to announce retirement	US Senator Ted Cruz to announce presidential bid	headlines	0.0
Plane Crash Site Search Called off for the Night	Tour De France Pack Sets off for Stage 15	headlines	0.0
Obama queries Turnbull over China port deal	Spanish bulls gore seven to death	headlines	0.0
China's generous 1MDB bid seen reaping it big returns in Malaysia	China keeps an eye on visiting tiger freed by Russian President	headlines	0.0
Hezbollah targets Qaeda gathering along border with Syria	Belarus tightens security along the border with Ukraine	headlines	0.0
Obama calls for international front against IS	Obama vows to save Iraqis stranded on mountain	headlines	0.0
Who abandoned 3 Boeing planes at the airport?	Police abandon posts in Lesotho, fear for lives	headlines	0.0
Ebola UK: NHS staff 'panicked' after suspected Ebola cases	UK says investigating 2 suspected MERS cases	headlines	0.0
Philippines, Canada pledge to further boost relations	Philippines saves 100 after ferry sinks	headlines	0.0
N. Korea agrees to talks with South	Johor crowns its fifth Sultan	headlines	0.0
Iran, a large important partner for Russia: Novak	Iran reiterates support for Iraq, Syria	headlines	0.0
Taiwan's president charters plane to pay respects to Lee	Poland president loses to challenger	headlines	0.0
Two Palestinians die in attacks on Israelis ahead of Kerry visit	Palestinian official slams Israel's stone-throwing bill	headlines	0.0
Thomas Cook accused of putting costs before customers	University of Florida frat accused of spitting on wounded war veterans	headlines	0.0
Narendra Modi 'photoshopped' image of Chennai floods visit goes viral	PM Narendra Modi speaks of non-discrimination and equality	headlines	0.0
Obama Struggles to Soothe Saudi Fears As Iran Talks Resume	Myanmar Struggles to Finalize Voter Lists for Sunday Polls	headlines	0.0
Pakistan executions draw international ire	Pakistan protests ceasefire violations by India	headlines	0.0
South Korea declares end to MERS outbreak	North Korea Delegation Meets With South Korean Officials	headlines	0.0
Pranab stresses need to strive for peace by nations	WTO: India regrets action of developed nations	headlines	0.0
Two Australians killed in Kenya after bus crashed into river	Permalink to Two killed in Germany train accident	headlines	0.0
Severe Gales As Storm Clodagh Hits Britain	Merkel pledges NATO solidarity with Latvia	headlines	0.0
Dozens of Egyptians hostages taken by Libyan terrorists as revenge for airstrikes	Egyptian boat crash death toll rises as more bodies found in Nile	headlines	0.0
President heading to Bahrain	President Xi: China to continue help to fight Ebola	headlines	0.0
China, India vow to further bilateral ties	China Scrambles to Reassure Jittery Stock Traders	headlines	0.0
Obama is right: Africa deserves better leadership	Obama waiting for midterm to name attorney general	headlines	0.0
Putin spokesman: Doping charges appear unfounded	The Latest on Severe Weather: 1 Dead in Texas After Tornado	headlines	0.0
New video shows US police officers beating mentally-ill man	New York police officer critically wounded in hatchet attack	headlines	0.0
You do not need to worry.	You don't have to worry.	answer-answer	5.0
You can do it, too.	Yes, you can do it.	answer-answer	5.0
The answer to both questions is: Yes.	The answer to both of your questions is yes.	answer-answer	5.0
You guys are making this all WAAAAAY too complicated.	You are making this too complicated.	answer-answer	5.0
It's not a good idea.	It is not a good idea.	answer-answer	5.0
Take a look at these:	Take a look at this: 	answer-answer	5.0
This is not a good idea.	But it is not a good idea.	answer-answer	5.0
I was in a similar situation.	I had a similar situation.	answer-answer	5.0
I've had this same problem.	I had this same problem.	answer-answer	5.0
You answered your own question.	You have answered your own question.	answer-answer	5.0
I don't see why there should be any problem with this whatsoever.	I don't see why that should be a problem.	answer-answer	5.0
It makes absolutely NO difference.	No, it makes no difference.	answer-answer	5.0
I think it's fine to ask this question.	I think it is okay to ask the question.	answer-answer	5.0
There's not a lot you can do about that.	I'm afraid there's not really a lot you can do.	answer-answer	5.0
You answered your own question.	You've answered your own question already.	answer-answer	5.0
Can you do this?	Can you do it?	answer-answer	5.0
How do you do that?	How to do that?	answer-answer	5.0
It's also a matter of taste.	It's definitely just a matter of preference.	answer-answer	5.0
I don't see why there should be any problem with this whatsoever.	I don't see why this could be a problem.	answer-answer	5.0
There's not a lot you can do about that.	I really do not think there is much you can do about that.	answer-answer	5.0
You got it right.	Yes you got it.	answer-answer	5.0
There are two things to consider:	A couple things to consider:	answer-answer	5.0
Can you do this?	So, CAN you do this?	answer-answer	5.0
There are a few things you can do: 	There are a couple things you can try.	answer-answer	5.0
You got it right.	You've got it right.	answer-answer	5.0
You answered your own question.	You pretty much answered your own question.	answer-answer	5.0
You are on the right path.	You're on the right path.	answer-answer	5.0
What are your goals?	What are you goals?	answer-answer	5.0
A few more point to think about:	A few things to think about:	answer-answer	5.0
I'm afraid we are out of luck in this one.	I think this is one of those things where you are just out of luck.	answer-answer	5.0
It's also a matter of taste.	It's mostly a matter of taste.	answer-answer	5.0
I had the same problem as you.	I have just had the same problem.	answer-answer	5.0
I'm thinking it's a bad idea. 	I think it's a bad idea.	answer-answer	5.0
It's not a good idea.	Not a good idea.	answer-answer	5.0
I had the same problem as you.	I have exactly the same problem.	answer-answer	5.0
There are two things to consider:	I think there are two important things to consider:	answer-answer	5.0
It's pretty much up to you.	It is up to you.	answer-answer	5.0
There are three options:	There are only three options:	answer-answer	5.0
So think it in this way.	Think of it this way.	answer-answer	5.0
Maybe this could work for you.	Maybe this can work for you.	answer-answer	5.0
This is not a good idea.	Not a good idea.	answer-answer	5.0
I realized there is already an accepted answer but I figure I would add my 2 cents.	I know this is an old question but I feel I should add my 2 cents.	answer-answer	5.0
You may have to experiment and find what you like.	You have to find out what works for you.	answer-answer	5.0
I agree with the other comments.	I agree with the previous comments.	answer-answer	5.0
It rather depends on which country you're in.	That depends on which country you are in.	answer-answer	5.0
This is a terrible idea.	This is a bad idea.	answer-answer	5.0
You have to decide what you want to get out of this.	You have to know what you want to do.	answer-answer	4.0
I have few suggestions for you:	I have two suggestions for you:	answer-answer	4.0
As soon as possible.	Start them as early as possible.	answer-answer	4.0
To give this an answer:	I'll answer this question:	answer-answer	4.0
Unfortunately the answer to your question is we simply do not know.	Sorry, I don't know the answer to your question.	answer-answer	4.0
The rule - When in doubt throw it out!	"I always go by the rule ""When in doubt, throw it out!"	answer-answer	4.0
This is not a good idea.	This sound like a very bad idea.	answer-answer	4.0
It probably depends on the cut of meat.	It depends on the meat and how it's cut.	answer-answer	4.0
Have you tried asking your employees?	Have you tried asking?	answer-answer	4.0
There are two things to consider:	There are two possible causes for this:	answer-answer	4.0
It depends on what you want to do next, and where you want to do it.	In other words, it depends on where you go, when you do there and how.	answer-answer	4.0
I have the same thing.	I have had the same problem.	answer-answer	4.0
"My answer to your question is ""Probably Not""."	I think that the short  answer to your question is: No.	answer-answer	4.0
I don't think it makes any tremendous difference.	I don't think it makes much difference.	answer-answer	4.0
It's not a good idea.	I do not think it's a good idea.	answer-answer	4.0
You are on the right path.	You are right on the mark.	answer-answer	4.0
How should I proceed about this?	So how should I do this?	answer-answer	4.0
Does this page answer your question?	Does this answer your questions?	answer-answer	4.0
I'm going to be very direct here.	I'm going to be blunt, here: You don't.	answer-answer	4.0
It depends entirely on your company and your contract.	I guess it depends on the nature of your contract.	answer-answer	4.0
There are a few things I think you should do.	There are quite a few things you would need to do;	answer-answer	4.0
How do you do that?	How should you do that?	answer-answer	4.0
I was in a similar situation.	I am in a similar situation.	answer-answer	4.0
It depends on what you want to do next, and where you want to do it.	It's up to you what you want to do next.	answer-answer	4.0
Well, I wouldn't put it on my cv.	I wouldn't put this job on my resume.	answer-answer	4.0
I think there isn't a general answer.	I don't think there is an answer for this.	answer-answer	4.0
Work into it slowly.	You work on it slowly.	answer-answer	4.0
It varies by the situation.	This varies by institution.	answer-answer	4.0
I have the same thing.	I have the same problem.	answer-answer	4.0
I have the same thing.	I have the exact same problem.	answer-answer	4.0
You have to decide what you want to get out of this.	You have to find out what works for you.	answer-answer	4.0
It's not a good idea.	No, it's not a good thing.	answer-answer	4.0
You have a problem.	This is a big problem.	answer-answer	4.0
Unfortunately, this question cannot be answered in its full generality.	This cannot be answered in general.	answer-answer	4.0
I think there isn't a general answer.	I don't think there is a single definition.	answer-answer	4.0
"My answer to your question is ""Probably Not""."	The answer to your question is not really.	answer-answer	4.0
I had the same problem as you.	I had the same issue.	answer-answer	4.0
Hope this is what you are looking for.	Is this the kind of thing you're looking for ?	answer-answer	4.0
There are a few things you can do: 	There are a few things you need to consider:	answer-answer	4.0
It depends on what you want to do next, and where you want to do it.	It depends on what and where you are going to do.	answer-answer	4.0
In the US, it will depend on the school.	This will depend on the university.	answer-answer	4.0
There are a few things I think you should do.	There are a few minimally-effective things you can do at the personal level.	answer-answer	4.0
I've had this same problem.	I had this problem before.	answer-answer	4.0
Not a direct answer to the question, but something to consider.	Not a real answer to your question, but maybe it helps.	answer-answer	4.0
I remained under the banyan tree, exhausted by my daily ritual of dragooning the men every two hours. 	I remained under the banyan tree, exhausted by my daily ritual of herding the cats every two hours. 	answer-answer	3.0
In the US, it will depend on the school.	It really depends on the school and the program.	answer-answer	3.0
You should do it.	You should do what it says.	answer-answer	3.0
Yes, it's probably a good idea to renew your passport.	It's a good idea.	answer-answer	3.0
Yes, you should mention your experience.	Yes, you should mention it.	answer-answer	3.0
It depends on what you want to do next, and where you want to do it.	I guess it depends on what you're going to do.	answer-answer	3.0
It depends on what you want to do next, and where you want to do it.	It depends on what you want to achieve.	answer-answer	3.0
This is a very unusual request.	This sounds a bit unusual.	answer-answer	3.0
It depends on what you want to do next, and where you want to do it.	It depends on what you want to be able to do.	answer-answer	3.0
It really doesn't matter.	It doesn't matter unless it is really far off.	answer-answer	3.0
You don't need to know everything.	You don't have to know.	answer-answer	3.0
I think you're looking for Mikey (1992).	I think you're looking for the movie	answer-answer	3.0
I don't think that there's any.	I don't think there is any universal term.	answer-answer	3.0
There are a few things you can do: 	There are a few minimally-effective things you can do at the personal level.	answer-answer	3.0
This is the tip I find most useful:	Something like this is useful:  	answer-answer	3.0
Sure, I've  done this very trip.	I've done this many dozens of times.	answer-answer	3.0
You can use it, too.	You can do it, too.	answer-answer	3.0
I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/	I found some link that might be of help to you:	answer-answer	3.0
You don't have to worry.	Since you have one ticket, you don't have to worry.	answer-answer	3.0
It depends entirely on your company and your contract.	It depends on your company.	answer-answer	3.0
The wood probably isn't rotten, it's just worn out.	It's just worn out and not safe.	answer-answer	3.0
I have the same thing.	I had the same problem as you.	answer-answer	3.0
Yes it is common!	The simple answer is yes!	answer-answer	3.0
I don't think that there's any.	I don't think there are any benefits.	answer-answer	3.0
You can use it, too.	Yes, you can do it.	answer-answer	3.0
There are a few things you can do: 	There are a few things I think you should do.	answer-answer	3.0
There are a few possible reasons.	There are a few reasons that paint wrinkles.	answer-answer	3.0
I've had this same problem.	I had this same situation.	answer-answer	3.0
The answer to both questions is: Yes.	If the answer to any of these questions is yes, a PhD may be worthwhile for you.	answer-answer	3.0
I did this one time as well.	I have this habit as well.	answer-answer	2.0
You should just ask your boss what he wants you to do.	You should listen to your boss, because you're not paid to tell the boss what to do.	answer-answer	2.0
It depends on what you want to have in your tank.	i think it depends what you want:	answer-answer	2.0
You don't have to know.	You have no need to do anything.	answer-answer	2.0
You can buy it on amazon for $5.	You can buy it on ebay for $25 and up.	answer-answer	2.0
You might have to try a variety before you find one that clicks with him.	My advice would be to try a variety of coffees that you can afford and find one you like.	answer-answer	2.0
From what I understand this is what you can do :	Can you do this?	answer-answer	2.0
I'd say it primarily depends on two things:	I'd say it depends on the ultimate outcome you want?	answer-answer	2.0
I am not sure this is the right site for the question.	I am not sure this question would have made much sense to the Romans themselves.	answer-answer	2.0
You are not disclosing key info.	No you are not.	answer-answer	2.0
It very much depends on the grant in question.	I think it depends very much on the area.	answer-answer	2.0
It depends on what they are.	It depends on what they are evaluating, and how.	answer-answer	2.0
There's not a lot you can do about that.	There's not that much that you can do with a sourdough starter.	answer-answer	2.0
You just have to base your answer on what you do know, which is what you want.	Th answer to you problem is that you dont actually know what you're getting in .	answer-answer	2.0
This is not a good idea.	This is probably not a good idea but I will suggest it anyhow.	answer-answer	2.0
I'd say it primarily depends on two things:	I'd say it depends what conditions you have.	answer-answer	2.0
I have the same thing.	I have the same situation and have traveled extensively.	answer-answer	2.0
You can use it, too.	You can still use it for practice.	answer-answer	2.0
It really depends on how the employer documents it.	It depends how you're stating it.	answer-answer	2.0
I've had this same problem.	I've had this problem while working in a pubs.	answer-answer	2.0
It depends on the dish and how amenable it is at the stage you make the mistake.	It depends on the sauce and the result you want.	answer-answer	2.0
You just have to base your answer on what you do know, which is what you want.	You have to do what is right for you.	answer-answer	2.0
That's what I believe.	Yes, I believe it's a good idea.	answer-answer	2.0
If you are not sure how to do it, don't do it at all.	If you do not have a very strong scientific reason to do it, don't.	answer-answer	2.0
I would say you can do it, but it wouldn't be advised.	Personally, I would say not unless it suits you.	answer-answer	2.0
I would say you can do it, but it wouldn't be advised.	I would say it is impossible to know, so don't risk it.	answer-answer	2.0
This answer is based on my experience teaching undergraduate math in the US.	This answer is based on experience I did not researched for references.	answer-answer	2.0
It depends on what you want to have in your tank.	It depends on what you want to achieve.	answer-answer	2.0
That is your problem, not your supervisor's.	Work with your supervisor and your team to solve the problem.	answer-answer	2.0
Yes, there is a reason to not do what you propose.	Valid reasons to feel the way you do, but not a reason to resign.	answer-answer	2.0
I think it is depends on the program.	It depends on how the term is used I think.	answer-answer	2.0
I think you've pretty much done your review.	You've pretty much answered your own question.	answer-answer	2.0
You burn more Calories digesting protein than you do carbohydrates and fat.	The more you sweat, the faster you will burn calories and fat.	answer-answer	2.0
I would look at this: U.S.	I would look at this way: 	answer-answer	2.0
It looks to me that this is set up for what you want:	It is up to you whether you want to do that.	answer-answer	2.0
It is impossible to answer this question without a form check.	It is difficult, if not impossible, to give a complete answer to this question.	answer-answer	2.0
You need to add this to your resume because it is the only position you have had.	This gives you the opportunity to make your case that you really do have expertise in XXX.	answer-answer	2.0
Yes, you should mention your experience.	Yes, you should make a résumé.	answer-answer	2.0
I think it is great that you had a test conducted.	I think that's a great plan.	answer-answer	2.0
I'm going to go out on a limb here...	I'm going to be very direct here.	answer-answer	2.0
If your long stay visa for Switzerland is valid, then you will not need a transit visa.	You do not need a transit visa, but to enter Zurich you will need a visa.	answer-answer	2.0
Now you don't have to be perfect on every answer.	You don't have to know.	answer-answer	2.0
Primer/paint will not work.	Nope that will not work.	answer-answer	2.0
The best thing you can do is to know your stuff.	The best thing you can do is find something else interesting to do while you wait on hold.	answer-answer	2.0
I was in a similar situation.	Personally when I was in a similar situation I sent the couple a card and a gift.	answer-answer	2.0
Sometime if you really want it you might need to pay an agency to get the place for you.	You could probably get a tour agency to do it for you but it would cost you.	answer-answer	2.0
Also it is useful to keep the consistency in your story.	It is important to keep the story in the scope of your limit.	answer-answer	2.0
Unfortunately the answer to your question is we simply do not know.	If the conversation is not about work, you know what the answer is to your own question.	answer-answer	2.0
I would personally beware of the Motley Fool.	I would recommend looking at The Motley Fool.	answer-answer	2.0
You should do it.	You can do it, too.	answer-answer	1.0
You want to start in the room that is the largest to make sure you have the straightest start.	You will have to start with the clinic., and maybe move on to the insurance company.	answer-answer	1.0
if you don't want to derail the meeting, but the key is to speak up.	The key thing you need to do in this meeting is listen.	answer-answer	1.0
Unfortunately the answer to your question is we simply do not know.	"My answer to your question is ""Probably Not""."	answer-answer	1.0
You just have to base your answer on what you do know, which is what you want.	It depends on what you want to do next, and where you want to do it.	answer-answer	1.0
Yes, there is a reason for it.	Yes, that is exactly what it means.	answer-answer	1.0
The coffee simply picks up the aluminum from the pot, as the coffee is acidic.	One idea is cleaning the coffee residue from the coffee pot.	answer-answer	1.0
You just have to base your answer on what you do know, which is what you want.	They can, but the way to do it depends on what you have available.	answer-answer	1.0
Some of what you can do:	Not much you can do besides:	answer-answer	1.0
This is a problem that the professor has to deal with.	This is a big problem.	answer-answer	1.0
This doesn't answer your question, but:	This is a part answer to your question	answer-answer	1.0
Yes, you have to file a tax return in Canada.	You are not required to file a tax return in Canada if you have no taxable income.	answer-answer	1.0
Hope this is what you are looking for.	If what you are looking for is much higher, they get the picture.	answer-answer	1.0
You just have to base your answer on what you do know, which is what you want.	Yes, you can do exactly what you want to do.	answer-answer	1.0
If you are not sure how to do it, don't do it at all.	If not, don't do that and spend that time with something you like to do.	answer-answer	1.0
Unfortunately the answer to your question is we simply do not know.	The answer to your question is not really.	answer-answer	1.0
If you are not sure how to do it, don't do it at all.	You don't, it will not work.	answer-answer	1.0
It's not a good idea.	It's a good idea to do both.	answer-answer	1.0
There are a couple of options that you could consider:	There are a lot of ways that could go poorly for you.	answer-answer	1.0
Vietnamese citizens need a visa to visit the USA.	Nepalese citizens require a visa to visit the UK.	answer-answer	1.0
It depends on how it's used.	It depends on how long it's been out.	answer-answer	1.0
This is a great one... 	This is a difficult one.	answer-answer	1.0
The key is you have to find something that works for you, and your goals.	You may want it, but the process given to you is what you have to work within.	answer-answer	1.0
It depends on what you want to do next, and where you want to do it.	It depends on what you want to say/imply.	answer-answer	1.0
If you haven't, you should.	You should, but you don't have to.	answer-answer	1.0
Problem is, the system doesn't account for people who could care less about money, or title.	The Joker doesn't care about money.	answer-answer	1.0
In the first case, I think you don't need it.	So I don't think you need to put it on the cover.	answer-answer	1.0
Yes, it is possible to publish a paper on model analysis.	Yes, it is hard to publish in a peer reviewed journal.	answer-answer	1.0
You just have to base your answer on what you do know, which is what you want.	So if that's what you need, you really do have to be explicit about it.	answer-answer	1.0
Yes, there is a rule against this.	There's no rule against it.	answer-answer	1.0
