sent1	sent2	theme	score
The Chinese authorities refused him entry in their territory, and he was therefore forced to return to Bangkok, where the Thai police and immigration officers insisted that he go back to England.	The Chinese authorities have refused entry on their territory, and has therefore been forced to leave in Bangkok, the police Thaï and immigration officers have insisted that he is back in England.	postediting	
The difference between these two groups was in fact that the emphasis was laid in one on victory, while in the other, on failure.	The difference between these two groups is in fact that the emphasis was placed in a on the victory, while in the other, on failure.	postediting	
Try not to arouse the child before to go to sleep.	Try not to excite the child before it goes to sleep.	postediting	
This' territory twice great as France ',' home is in Quebec.	This 'territory twice as big as France', ' is here, is in Quebec.'	postediting	
Are ever to the child that you can ask for the night to know his secret.	Don't ever tell the child that you can listen to him at night to know his secret.	postediting	
According to the capacity (Max. 2 UK), you should not spend more than 1 100 kronor.	Depending on the capacity (Max. 2 GB), you should not spend more than 1 100 kronor.	postediting	
Those of Boulogne-sur-Mer have decided to wait for the meeting on Wednesday at the Ministry to decide on eventual actions.	Those of Boulogne-sur-Mer have decided to wait for the holding of the meeting on Wednesday at the Ministry for deciding any actions.	postediting	
The suspect in the double homicide of Ózd, a young man about 23-year-old, was remanded in custody, on Sunday.	The suspect in the double homicide of Ózd, a young man the corner 23-year-old, was remanded in custody, on Sunday.	postediting	
The Court of Appeal Competition ordered to BSkyB to reduce its share of ITV 17.9% less than 7.5%.	The Court of Appeal for Competition ordered BSkyB to reduce its share of ITV from 17.9% to less than 7.5%.	postediting	
"""Without these, she would probably now have been a young woman, happy, promising, and successful."""	"""Without them, she would probably now a young woman happy, promising, and success."""	postediting	
His message was made, it was out of his lips so persuasive.	His message was precisely formulated, it came out of his lips in a persuasive manner.	postediting	
American prosecutors investigate and continuing the courts for the government.	New investigate the case of the US prosecutors.	postediting	
This malfrat appealing in the scam brillantissime The Sting (L), Oscar for best film in 1973.	The genial thug in the brilliant The Sting, winner of an Oscar for best film in 1973.	postediting	
Barely had the plans been made public that the government of the Hessen proclaimed itself against any participation with the Hellaba in these matters.	Barely the plans had they been made public that the government of the Hessen said any participation of the Hellaba in them.	postediting	
But Barrick Gold seems not to trust the public and rejected out of hand the petitions and letters of support for the authors of black Canada.	But Barrick Gold seems not to trust the public opinion and rejected the petitions and letters of support for the authors of Black Canada.	postediting	
"""Then, a gang of young whites were launch oranges or objects against people sitting on the side"" said Mr Franklin."	"""Then, a gang of young whites would launch oranges and other objects at people sitting on the side"" said Mr Franklin."	postediting	
A way to characterise the media campaign emotional the intention of launching, on Wednesday, the Ministry of Transport.	A way to characterise the emotional media campaign that the Ministry of Transport has the intention of launching on Wednesday.	postediting	
Sheikh Hasina as Zhaleda Zia, deny the accusations that they get.	Sheikh Hasina like Zhaleda Zia, denies the accusations against her.	postediting	
However, as shown by the example of Mobilking in Poland, investing in an unusual target group can also be a good advertisment stunt.	However, as shown by the example of Mobilking in Poland, invest in a target group unusual can also be a good shot advertising.	postediting	
"""What works with drivers is the system of sugar and the whip."	"""What works with drivers is the system of sugar and the whip."	postediting	
Among the most affected by the closure, Emily Romaine is at the top with 82 cinemas single halls lost, followed by the Tuscany (44) and Lombardy (41).	Among the most affected by the closure, Emily Romaine is at the top with 82 cinemas single rooms lost, followed by the Tuscany (44) and Lombardy (41).	postediting	
You can listen to the four new versions on the server iHNed.cz.	You can listen to the four new versions on the server iHNed.cz.	postediting	
Monday, the US House of Representatives rejected the draft for support of the financial system, for which it would have had to spend up to $700 billion (nearly 12 bilions of Kcˇ).	Monday, the US House of Representatives rejected the draft supports the financial system, which it would have had to spend up to $700 billion (nearly 12 bilions of Kcˇ).	postediting	
But he said he do not feel well, and refused to go to London.	But he said they do not feel good, and refused to go to London.	postediting	
Public officials of Orange County wanted to build a motorway to five ways to the town to replace the Boulevard Kennedy, main street in two ways of the community.	Public officials of Orange County wanted to build a five-way motorway through the town to replace the Boulevard Kennedy, the main street with two ways for the community.	postediting	
People of Jersey have to pay more for their milk	People of Jersey have to pay more for their milk	postediting	
The attitude of mobile operators is easily understandable: the entry of another operator would mean an increase of competition, which would lead to lower prices and thus reduced benefits.	The mobile operators is easily understandable, the entry of another operator would mean an increase of competition, would have led to lower prices and thus reducing their benefit.	postediting	
Elena, Luca and others come together, Marco makes a last speech and explains the plan of attack.	Elena, Luca and other come together, Marco takes a last speech, explains the plan of attack.	postediting	
It occupies the same function that your wife or your husband when you have to say something to your mother-in-law.	It occupies the same function as your wife or your husband when you have to say something to your mother-in-law.	postediting	
But precisely that have spoken, in developed countries, regulators, who defended not the interests of the mobile operators, but those of their clients.	But precisely at this point intervened regulators, in developed countries, who defended not the interests of the mobile operators, but those of their clients.	postediting	
"""If we wanted to respect the law strictly formal and the activity of a steward is against the law on the road,"" said the spokesman for the Ministry of Transport Karel Hanzelka."	"""If we wanted to respect the law strictly and formally, the activity of a steward is against the law on the road,"" said the spokesman for the Ministry of Transport Karel Hanzelka."	postediting	
Then, when I became a dancer, I was trying to take care of my way to pay.	"""I have changed, I do not want to take risk""."	postediting	
It is annoying to see that the institutions that have had a prudent behavior … must now pay some of the bills of institutions that were much less cautious.	It is annoying to see that the institutions that have had a prudent behavior … must now pay some of the bills institutions that were much less cautious.	postediting	
In the MDAX, the shares of Arcandor fell after the announcement of an increase in the capital.	Also in terms of price of flights, the trend was on the rise in the first quarter.	postediting	
From Kristoffer Klein. Enlarge. Hard landing for international player Marko Marin.	Of Kristoffer Klein. Enlarge. Hard landing for international player Marko Marin.	postediting	
Yes and no.	Yes and no.	postediting	
On demand, the CD of installation can be shipped at home or at work.	On demand, the installation CD can be shipped to home or work address.	postediting	
"""I have changed, I do not want to take risk""."	"""I have changed, I do not want to take risks""."	postediting	
Defeat the laws of gravity thanks to a super glue and, in the future, walk on the walls as Spiderman.	Defeat the laws of gravity thanks to a super glue and, in the future, walk on the walls like Spiderman.	postediting	
New Yorkers in general have become very familiar to the world of finance in recent weeks.	Of New Yorkers any have become very familiar to the world of finance in recent weeks.	postediting	
I was already afraid on my way to school.	I already knew thanks to my mangas.	postediting	
The search for the essential and the magic has been the constant of this work that is presented these days to the gallery El Fotómata.	The search for the essence and the magic has been the constant of this work that is now on exhibit at the El Fotómata gallery.	postediting	
During the investigation, it was revealed that the 23-year-old man was a lot of money to a man of 53 years.	During the investigation, it was revealed that the 23-year-old man owed a lot of money to a man of 53 years.	postediting	
"""However, it has not led to any conclusion on this point."	"""However, it has not led to any conclusion on this point."	postediting	
The talks had turned into a sprint in the last few hours for fear of the effects that another failure would have on investors' sentiments.	The talks had turned into a sprint in the last few hours for fear of the fact that would cause another failure on investor sentiment.	postediting	
What is most shocking is the almost concordant view of the three mobile operators, which stems from their reactions.	Which is shocking is concord almost touching the three mobile operators, which stems from their reactions.	postediting	
Monica Cruz, who presented herself at the event with a pair of trousers and a shirt — from her own collection, – and for the dinner metamorphosed by wearing a long sexy black dress, and was moved when during the night visit to the opera, accompanied by Goya Toledo, they showed us the practise room for ballet and remembering the good old days, she took a bar and did a full split.	Monica Cruz, who has presented to the shop with a pair of trousers and a shirt — its own collection, and for the dinner was a roll up our sleeves in Little long sexy and black dress, has moved when during the night visit to the opera, accompanied by Goya Toledo, they have shown the Chamber of repetitions of ballet and bearing in mind the good old days, it has taken a bar and it made a gesture of a large is complied.	postediting	
"""Eatonville, first black city to integrate fully, childhood home of Zora Neale Hurston, this description that she made in 1935, is not so easy to make these days."" The city of five lakes, three croquet fields, 300 dark skins, 300 good swimmers, full of guavas, two schools and no prison."	"""Eatonville, first black to integrate fully city, home of childhood of Zora Neale Hurston, this description that it did in 1935, is not so easy to make these days."" The city in five lakes, three short of croquet, 300 skins foncées, 300 good swimmers, full of goyaves, two schools and not in prison."	postediting	
The next morning, we have had the pleasure of seeing Olivier Martínez – another big man who drives a motorbike - and John Travolta, who arrived at the intercontinental Hotel in Paris, with his own sheets and towels and asked in advance, that there should be no smell in his bedroom.	The next morning, we have had the pleasure of seeing Olivier Martínez – another fine man who drives a motorbike - and John Travolta, who arrived at the intercontinental Hotel in Paris, with its into, goats and asked in advance, that there are no smell in his bedroom.	postediting	
For the moment, Microsoft is more interested in the launch of its own online services to become an alternative to Google.	For the moment, Microsoft is more interested in the launch of its own online services to become an alternative to Google.	postediting	
Despite these changes, the main idea of the programme, which was to obtain finance to buy bad mortgage securities, whose value had fallen because hundreds of thousands of Americans were unable to pay their mortgages, was maintained.	Despite these changes, the main idea of the programme, which was to obtain finance to buy bad mortgage securities, whose value chuta, because hundreds of thousands of Americans are unable to pay their mortgages, was maintained.	postediting	
On Wednesday 1 October 2008 will be included in the history of Prazˇsky´ Dopravní podnik (the Agency pragoise transport) as the date on which will rise in the metro, the trams and buses the first passenger, who, instead of having a ticket on paper, will have in their pocket a coupon electronic.	Wednesday 1 October 2008 will noted in the history of Prazˇsky´ Dopravní podnik (the transport agency of Prague) as the date on which passengers in the metro, the trams and buses will have, instead of a ticket on paper, an electronic coupon in their pocket.	postediting	
On the value of society-daughter, the Hypo Real Estate must proceed with amortization which should have on the calculation of the gains and losses of the a vital equipment which is still unclear.	On the value of the dependant society, the Hypo Real Estate must proceed with amortization which should have a real effect on the calculation of gains and losses, but which still remains unclear.	postediting	
It is a central point but also an example of rural southern black culture - a sometimes scorned,  at others acclaimed - reminiscent of the birth of slavery.	It is a central point but also an example of rural culture black sudiste- a few times scorned, other times acclamée- reminiscent of the birth of slavery.	postediting	
This face through the ages, it was him.	This face through the ages, it was him.	postediting	
However, I do not think so.	"""I have changed, I do not want to take risk""."	postediting	
Two former ministers from two different parties, Pierre Corbeil and Michel Létourneau (former Member péquiste of Ungava), have already begun consultations with thirty communities.	Two former ministers from two different parties, Pierre Corbeil and Michel Létourneau (former Member of the Party of Quebec of Ungava), have already begun consultations with thirty communities.	postediting	
According to an internal rules of society, the new services are not announced that when they can be used, which is about is that in the coming months and years, they are going to move the world on new points. While some believe that the draft scan and filing of books and magazines dimensions of Google is so important that the company will soon face the Supreme Court of the United States, other tremble before its system Health, because in it, we can build a comprehensive medical benefit from our results of previous studies, our doctors and our problems.	According to internal rules of the society, new services are not announced until they can be used. What is certain is that in the coming months and years, they are going to move the world on new points. While some believe that the draft scanning and filing of books and magazines by Google is reaching a dimension so large that the company will soon face the Supreme Court of the United States; others tremble before its Health system, because in it, we can build a comprehensive medical benefit from our results of previous studies, our doctors and our problems.	postediting	
Indeed, each of them explained the phenomena found at auctions by the pleasure of winning and the parade before the risk.	Indeed, each of them explained the phenomena found at auctions by the pleasure of winning and the show in front of the risk.	postediting	
Barack Obama's proposals on education is an interesting example.	Barack Obama's proposals on education is an interesting example.	postediting	
Even after the accident, the director do not consider their job as a job at risk.	Even after the accident, the director does not consider their job as a risky job.	postediting	
"It is up to the vocabulary crucial to the survival of Japanese ados and means ""beautiful, cabbage""."	"It is an essential part of Japanese teenage vocabulary and means ""cute""."	postediting	
Bilingual Debate: Immersion into the English Language	Debate: Bilingue left in the English language	postediting	
We have said that this is a benign alteration, that is why there is no treatment, unless it is linked to a alteration of sleep that can be treated (for example, if it is linked to a sleep disorder or stress).	We have said that this is a distortion benign, that is why there is no treatment, unless it is linked to a distortion of sleep that can be treated (for example, if it is linked to a apnée of sleep or of stress).	postediting	
The choice of operators is unfortunately miserable and is limited, in most cases, to radio tubes.	The supply of operators is unfortunately miserable and it is limited, in most cases, the radio tubes quickly facts.	postediting	
The multinational trade and tourism agency has also indicated that the shares will not be sold to Thomas Cook.	The multinational trade and tourism has also indicated that the actions will not be sold to Thomas Cook.	postediting	
Instead of a new Pearl Harbour, as the billionaire Warren Buffett, it is more appropriate to speak of a second 11 September.	Instead of a new Pearl Harbour, as the billionaire Warren Buffett, it is more appropriate to speak with a second 11 September.	postediting	
In the 1950s, the dispute on the mix of races led hatred to the gates of the community.	According to the calculations of scientists, black matters accounts for a fifth of the mass of the universe.	postediting	
According to the statistics, between 30% and 75% of drivers arrested for drunken driving more than once, go back to the wheel.	According to the statistics, between 30% and 75% of drivers arrested for having led more than once drunken driving, includes the car.	postediting	
American legislators made a turning point in the talks on the adoption of a rescue plan in the form of financial aid of  700 billion dollars (about 12 billion kroner), given to the US financial system.	American legislators effectuèrent a turning point in the talks on the adoption of a rescue plan in the form of financial aid of EUR 700 billion dollars (about 12 billion kroner), given the US financial system.	postediting	
I live in Rome for 25 years, and when I turn to the Rialto, or Quirinal of Via Nazionale, now closed, where I have both lived emotions shared, I turn to the other side not to see the banners noircis by the dust.	I have lived in Rome for 25 years, and when I pass by the Rialto, or Quirinal of Via Nazionale, now closed, where I have shared so many emotions, I turn to the other side to avoid seeing the panels blackened by the dust.	postediting	
Kinga Göncz thinks there is a good chance that on 12 January, the Hungarian-US visa waiver will be put into effect, which is what the foreign minister said in Chicago, in front of the leaders of the Hungarian community.	Kinga Göncz think there is a good chance that the 12 January, the Hungarian-US visa waiver to enter into force, which is what the foreign minister said in Chicago, before the leaders of the Hungarian community.	postediting	
The choice is wide.	The choice is wide.	postediting	
The Treasury estimates that the interests of the loan will rise in 2009, to £450millions.	In 2010, it will be necessary to pay the interests of the whole year, which may double.	postediting	
In all cases, progress poignent on the plan nervous as they weigh the same thing in rats and Man.	In all cases, progress hinges on the nervous system as we gauge it in rats and Man.	postediting	
Haider is prepared to govern Austria, to prevent the coalition of red and black.	Haider is prepared to govern Austria, to prevent the coalition of red and black.	postediting	
The Republican senator said that in the proposal are mentioned the creation of a committee of control of the Treasury and the cap of redundancy payments to senior managers, and that he was personally very attached to these points.	The Republican senator said that in the proposal, are mentioned the creation of a committee of control of the Treasury and the cap of redundancy payments senior leaders, and that he was personally very attached to these points.	postediting	
"""The principle of the glue can be imagined as a series of tubes prepared as a pile of spaghetti."" Explains Zhong Lin Wang of the Georgia Institute of Technology in Atlanta."	"""The principle of the glue can be imagined as a series of tubes prepared as a pile of spaghetti."" Explains Zhong Lin Wang of the Georgia Institute of Technology in Atlanta."	postediting	
The manettes also for Gioacchino Piromalli, the former mediator between the clan and public administrations, and his small sons lawyer, namesake of the boss, already condemned for a criminal association of mafia-style, and to pay 10 million.	Gioacchino Piromalli, the former mediator between the clan and public administrations, and his younger son and lawyer, namesake of the boss, already condemned for criminal association with the mafia, and to pay 10 million euros, were also arrested.	postediting	
This will allow children to have a more peaceful sleep.	This will allow children to have a more peaceful sleep.	postediting	
This is not why the American people have voted for us, this does not protect the taxpayer dollars - said the Republican Deputy of California, Darrell Issa.	It is not what the American people have mandated, this does not protect the taxpayer dollars - said the Member Republican of California, Darrell Issa.	postediting	
"For some, it is linked to a ""safe job""."	"For some, it is linked to the ""safety of work""."	postediting	
A fight taken to extremes: MP3 players versus mobile phones.	A fight taken to extremes: MP3 players against the mobile.	postediting	
The Czech market is very specific in comparison with others.	Other operators also refer to the specific nature of the Czech market.	postediting	
It was a group of elected Republicans that wrecked the first draft agreement last week.	It is a group of elected Republicans that wrecked the first draft agreement last week.	postediting	
According to the prime minister, it will be necessary to find a solution to the Temple Mount, the sacred sites and historical 'located within the old city.	"According to the prime minister, it will be necessary to find ""a special solution to the Temple Mount, the sacred and historical sites"" located within the old city."	postediting	
"Given the nature of the mobile market in RT, it is clear that the entry of a new competitor would submit itself, and especially its services, to high demands. """	"Given the nature of the mobile market in RT, it is clear that the entry of a player would submit further, and especially its services, high demands. """	postediting	
"The publication of ""Journal of a poet recently married"" concludes the Triennat"	"The publication of ""Journal of a poet recently married"" concludes the Triennat"	postediting	
Free speech opinion Orwellian of Barrick Gold	Free speech - the Orwellian discourse of Barrick Gold	postediting	
In a comparison of 12 months, taking into account the domestic sales of processing sectors, it is the price of oil processing sector which have been rising the most significant (32.4 percent).	In a comparison of 12 months, taking into account the domestic sales of processing sectors, the price of the oil processing sector has been rising the most significantly (32.4 percent).	postediting	
This campaign costing 150 million will appear on television, radio, cinema, on the Internet, but also on leaflets.	This campaign costing 150 million will appear on television, radio, cinema, on the Internet, but also on leaflets.	postediting	
This is what have communicated together the Egyptian state television, the Arab television channel Al Arabija and the Italian media.	This is what has been communicated by the Egyptian state television, the Arab television channel Al Arabija and the Italian media.	postediting	
The new Czech anthem four new versions.	You can listen to the four new versions on the server iHNed.cz.	postediting	
This is what we think is the most contributions from the point of view of customers.	"Especially as it is relatively saturated from the point of view of the offer of services. """	postediting	
Even the new legislation sought by the Lega to curb immigration and facilitate the expulsion of illegal immigrants, is cited as evidence of climate change in Italy.	Even the new term sought by the Lega to curb immigration and facilitate the return of illegal immigrants, is cited as evidence of climate change in Italy.	postediting	
This, the representatives of the ÚOHS must very well know, but their interests are apparently the other.	The course of the obligations, however, are particularly well.	postediting	
It is, however, a fact confirmed that the terms sought are not only made, but in justified cases, they are sent to a third, and in this type of case law, nothing protects the personal rights of Internet users.	It is, however, a fact that search terms are not only made, but in justified cases, they are sent to a third party, and in this type of case, by law, nothing protects the personal rights of Internet users.	postediting	
The majority of invoices was created by István Lados and his accomplice András O˝ri, who, according to our information, was involved in drafting the files needed to obtain subsidies.	The majority of invoices was created by István Lados and his accomplice András O˝ri, which according to our information, was involved in drafting the files needed to obtain subsidies.	postediting	
The chairman of the committee Executive Board of HRE Mr Funke explained that the group Hypo Real Estate should not have to resort to financial markets in the medium term.	The chairman of the directorial committee of HRE Mr Funke explained that the group Hypo Real Estate should not have to resort to the financial markets in the mid term.	postediting	
Two years thence and still no candidates among these enterprises, which have boasted replacing traditional energy with marine energy.	Two years ago, more candidates among these companies doomed always been to the traditional energy rely on marine energy.	postediting	
However, I do not think so.	However, I do not think so.	postediting	
"""By their nationality of the European Union, the Roma must be assured of their right to quality education, and be protected from a low-quality and sectarian education,""  said Lívia Járóka."	"""By their nationality of the European Union, the Roma must be assured of their right to quality education, and be protected from a low-quality education and sectarian said."" - Lívia Járóka."	postediting	
Non-residents, such as Rachelle Munson, a lawyer who frequents our church since 1993, have begun to come in large numbers, and residents are beginning to reconsider the past.	People non-resident, as Rachelle Munson, a lawyer who frequent our church depuis1993, began to come in large numbers, and residents were beginning to reconsider the past.	postediting	
"""Chevron is currently studying the technology on oceanic energy - said the spokesman of a company associated with the colossus American petroleum company, in the business daily Wall Street Journal- and assess the potential to cooperate with us."""	"""Chevron is currently studying the technology on energy océanique- said the spokesman of a parent company the colossus American oil tanker, the business daily Wall Street Journal- and assess the potential to cooperate with us."""	postediting	
On the occasion of its tenth anniversary, Google says that we can find it in bottom of the pockets of people and in the sky above their heads. It knows where they spent their holiday, which specialists they consult and what are their interests.	Has the opportunity to its tenth anniversary, Google says that we can find at the bottom of the pockets of the people in the same way that the sky above their heads. He knows where they spent their holiday, which experts they should consult and what are their interests.	postediting	
A forced integration, among other things, put an end to the relatively idyllic isolation of the community.	Forced integration, among other things, put an end to the isolation relatively idyllic of the community.	postediting	
America very fond least without Paul Newman	America pleases less without Paul Newman	postediting	
That wants to hide something, or at least, to try to circumvent the monopoly of Google, can do it (starting with, for example, Scroogle, using the system of research Google, but, at the same time, leaving intentionally no trace).	The one who wants to hide something, or at least, to try to circumvent the monopoly of Google, can do it (by using, for example, Scroogle, which uses Google's search engine, while intentionally leaving no trace).	postediting	
Vending machines which will operate from tomorrow, are easy to use.	Vending machines which will operate from tomorrow, are easy to use.	postediting	
Truth to speak, reading mangas is what I love best for some years now.	In the end, read the mangas, that is what I prefer already for years.	postediting	
Jersey Dairy has announced that it will increase the price in bulk of its milk, five penny per litre, from Monday.	Jersey Dairy has announced that it will increase the bulk price of its milk, to five pence per litre, from Monday.	postediting	
When she was a child in Coventry, Trerise had bound her before forcing her into sexual acts, while her mother worked at a pub.	Child when she lived in Coventry, Trerise had committed and bandée before the force of sexual acts, while his mother worked at the pub.	postediting	
The phenomenon has already shown a few days ago, with the vote in the House of Representatives, contrary to the rescue plan of $700 billion approved by the White House: A good significant number of American was, and still is, more interested in punishing Wall Street to save the US economy.	The phenomenon had already manifested itself a few days ago, with the vote in the House of Representatives, contrary to the rescue plan of $700 billion approved by the White House: a significant number of Americans were, and still are, more interested in punishing Wall Street than saving the US economy.	postediting	
"""We believe that it is easier to monitor someone who remains in the United Kingdom because we have devices able to manage any potential risks, much more effectively."	"""We believe that it is easier to monitor someone who remains in the United Kingdom because we have devices able to manage any potential risks, much more effective."	postediting	
Immediately after the takeover of bad debts, the government will intervene in aggressive way to ensure that the amount paid to the managers should not be exaggerated.	Immediately after the takeover of bad debts, the government will be aggressive way to ensure that the amount paid to the leaders should not be exaggerated.	postediting	
On the other hand, no legal prescription does not prohibit not the carrier services.	On the other hand, no legal prescription prohibits carriers from offering services.	postediting	
Obama wins the points in the first televised duel	Obama wins the points in the first televised duel	postediting	
The price of the production of paper, the activities of the print edition and have not changed.	The police is examining the weapon and the circumstances of its use with the help of experts.	postediting	
There is a lot of similarities between their symptoms. The inflammation of the liver and jaundice are characteristic, but pathogens and diseases caused differ.	There is a lot of similarities between their symptoms. The inflammation of the liver and jaunisse are characteristic, but pathogens and diseases caused differ.	postediting	
"""The mayor of Gioia Tauro was prepared to standardise the choice of the Mutuelle the interests of the clan Piromalli."""	"""The mayor of Gioia Tauro was prepared to standardise the choice of the Town Hall in favour of the Piromalli clan."""	postediting	
"It would reduce the costs, ""he says."	"All lies with it, ""he says."	postediting	
Following the reports Gélineau and Krever, two suppliers have been created in Canada: Héma-Quebec to serve the Quebec and the Canadian company of blood to supply all other provinces and the two territories.	Following the reports by Gélineau and Krever, two suppliers were created in Canada: Héma-Quebec to serve Quebec and the Canadian company of blood to supply all other provinces and the two territories.	postediting	
Internet users mindful of human rights have been able to breathe a sigh of relief in May, when Google, arms into confusion with the body of electronic legal protection EFF, has proved its right to court to the FBI. According to the ruling, in the future, Google will still not be bound by any of the points of the constitution to disclose information on the request of the FBI, secret of any kind.	Internet users mindful of human rights have been able to breathe a sigh of relief in May, when Google, jointly with the organization of electronic legal protection EFF, has proved its right to court to the FBI. According to the ruling, in the future, Google will still not be bound by any of the points of the constitution to disclose information of any kind on the request of the FBI.	postediting	
Journalists can clearly see where the web is going.	Journalists are not hard to see where will the web.	postediting	
But not thoe that take advantage of the taxpayers'.	But not to take advantage of the taxpayers'.	postediting	
It was an exciting life, a pioneer of the release of the woman, as Isadora Duncan, Virginia Woolf or Sarah Bernhardt.	She had an exciting life, a pioneer of the rights for women, like Isadora Duncan, Virginia Woolf or Sarah Bernhardt.	postediting	
Its beauty in the eyes of blue background was long their card asset, some would say its weakness.	The beauty in his blue eyes was long considered his trump card, while some called it his weakness.	postediting	
Battery life is also crucial	Battery life is also crucial	postediting	
I am not at all of its kind to love speak to people, particularly in a class of 40 pupils.	I am not at all of the kind of person who loves speak to people, particularly in front of a class of 40 pupils.	postediting	
But coming from an office, which must represent the interests of consumers and besides other things ensures that no one benefits from its position on the market, such a statement is confusing.	But from an office, which must represent the interests of consumers and other also take care to ensure that no one takes its position on the market, such a statement is confusing.	postediting	
"It was a nice ovation. """	"He received a nice ovation. """	postediting	
"This case highlights what the New York Times defines as the ""paradox of the North"": The northern regions are both those where one sees ""more integration and more work,"" but also ""the strongest anti-immigrant feeling in the country and the most important support for the Northern League"""	"This case highlights what the New York Times defines as the ""paradox of the North"": The northern regions are both those where ""more integration and more work,"" but also ""an anti-immigrant the height of the country and the most important support for the Northern League"""	postediting	
In his fight with the second bull, after a fight much better, he was whistled at by most of the public.	In his fight with the second bull, after a fight much better, it was done to make by most of the public.	postediting	
"Ms Mikels, contrary to bilingual education, has confirmed ""we had a great success with a student who had just arrived from Mexico; 12 months later, if you would have walked into his class, you would have had no chance to identify him."""	"Ms Mikels, contrary to the bilingual education, has affirmed ""we had a great success with a student who had just arrived from Mexico, 12 months after, if you go without his class, you would have had no chance to identify."""	postediting	
We have already had negotiations several times with all the Czech mobile operators about the possibility.	We have already led the negotiations about that possibility several times with all the Czech mobile operators.	postediting	
In any case it is a hardly studied phenomenon.	In any case it is a phenomenon little studied.	postediting	
For me, it was clear that I had to be travel a day.	But before the course begins, it was for me to appear.	postediting	
He meets the Foreign Minister, Condoleezza Rice, to which it will decoration of the Red of Commendatore with the single of the merit of the Republic of Hungary, and will be an interview with the foreign policies of the presidential candidates, Democrat Barack Obama and Republican John McCain.	He will meet the Foreign Minister, Condoleezza Rice, to whom he will confer the Commander's Cross with the Star of the Order of merit of the Hungarian Republic, and will have an interview with the foreign policies of the presidential candidates, Democrat Barack Obama and Republican John McCain.	postediting	
And thus, it is the government of each state from whom everyone expects interventions, plans of rescue and recovery, new rules, and especially the affection of appropriations: when one is going through a difficult period, there is nobody but the State with the economic resources, the mass of financial resources able to try to put things in place.	And thus, it is the government of each state that all expect the speeches, plans to rescue and recovery, the new rules, and especially the affection of appropriations: When one is going through a difficult period, there is that the Member with the economic resources, the mass of financial resources able to try to put things in place.	postediting	
The bond market has risen sharply.	The bond market has risen sharply.	postediting	
"""We have not stewards. We objected to it from the beginning."	"""We have not escort. We object from the beginning."	postediting	
The Police accuses the right-wing extremists of having desecrated an Austrian Muslim cemetery, at the end of the victory of political parties of the extreme right wing in the general election of the country.	The Police accuses the right-wing extremists had desecrated an Austrian Muslim cemetery, at the end of the victory of political parties of the extreme right wing the general election of the country.	postediting	
It is not only 1,000 but 1001 ways to forget the chaos and the frenzy of daily life.	There are not only 1,000 but 1001 ways to forget the chaos and the frenzy of daily life.	postediting	
Finally, Günther Merl, chairman of the committee director of the Hellaba, however, was voted against any business strategy of merger with his bank.	Finally, Günther Merl, chairman of the directorial committee of the Hellaba,  voted against any business strategy involving a merger with his bank.	postediting	
Remember that in the first match of the series return journey, on Friday, the Impact had suffered a defeat of 2-1 at Starfire Complex, in Tukwila, in a suburb of Seattle.	Remember that in the first match of the series on Friday, the Impact had suffered a defeat of 2-1 at Starfire Complex, in Tukwila, in a suburb of Seattle.	postediting	
"""It would have been given to the clan - write the juges - to enter officially into the mairie, facilitating the possibilities, which are already considerable, to control the public administration"""	"""It would have been given to the clan -écrivent the juges- to enter officially in the halls facilitating the possibilities, already considerable, control and orientement of the public administration"""	postediting	
"""People were always happy to see Zora"" he said."	"""People were always happy to see Zora"" he said."	postediting	
The material, invented by the team of researchers, is a development of those that we are using a special structure of carbon, called nano tubes of carbon.	The material, invented by the team of researchers, is a development of a special structure of carbon, called nano tubes of carbon.	postediting	
Czech according to the press, the stock exchange of Vienna, the transatlantic exchange, the Nasdaq Stock Exchange of New York, the stock exchange in London and Deutsche Börse have made an offer to date.	According to the Czech press, the stock exchange of Vienna, the transatlantic exchange, the Nasdaq Stock Exchange of New York, the stock exchange in London and Deutsche Börse have all made offers to date.	postediting	
The CˇTÚ (The Czech Office telecommunications), which pointed out that the price of a home SMS was higher than in the rest of the Union, has confirmed.	The CˇTÚ (The Czech Office of telecommunications), which pointed out that the price of an SMS here was higher than in the rest of the Union, has confirmed the fact.	postediting	
The financial crisis from the point of view of the European press	This is what we think is the most contributions from the point of view of customers.	postediting	
Five hundred American journalists have been arrested by the PEW Research Center about the status of their profession and mental control for the future.	Five hundred American journalists have been arrested by the Pew Research Center about the status of their profession and mental control for the future.	postediting	
Those who will begin to use the shop online can forget definitively the counters in the underground stations, where they were so far trampling of impatience in long lines in order to obtain tickets in paper.	Those who will begin to use the shop online can forget once and for all the counters in the underground stations, where they would stand impatiently in long lines in order to obtain tickets on paper.	postediting	
The cooperation in question needs a permit, discussed by the Committee for energy, to begin marine energy in Alaska.	Cooperation in question, is a permit discussed by the Committee for energy, needed to give rise to a marine energy in Alaska.	postediting	
The ETUDE- The US journal Science published the discoveries of some researchers from the University of Dayton, of Akron, the Georgia Institute of Technology and the Air Force Research Laboratory.	The study - The US journal of Science published the discoveries of some researchers from the University of Dayton, of Akron, the Georgia Institute of Technology and the Air Force Research Laboratory.	postediting	
Bills made deliberately	Bills set deliberately	postediting	
